Periodo,Porcentaje
2025 Mar,2.22
2025 Feb,2.51
2025 Ene,2.7
2024 Dic,2.43
2024 Nov,2.64
2024 Oct,2.5
2024 Sep,2.92
2024 Ago,3.04
2024 Jul,2.93
2024 Jun,2.78
2024 May,2.62
2024 Abr,2.61
2024 Mar,2.28
2024 Feb,2.45
2024 Ene,2.85
2023 Dic,2.61
2023 Nov,2.71
2023 Oct,2.75
2023 Sep,2.88
2023 Ago,2.96
2023 Jul,3.13
2023 Jun,2.65
2023 May,2.93
2023 Abr,2.82
2023 Mar,2.39
2023 Feb,2.72
2023 Ene,3
2022 Dic,2.76
2022 Nov,2.85
2022 Oct,3.3
2022 Sep,3.34
2022 Ago,3.53
2022 Jul,3.43
2022 Jun,3.35
2022 May,3.27
2022 Abr,3.03
2022 Mar,2.97
2022 Feb,3.74
2022 Ene,3.71
2021 Dic,3.51
2021 Nov,3.66
2021 Oct,3.95
2021 Sep,4.18
2021 Ago,4.33
2021 Jul,4.38
2021 Jun,4.02
2021 May,3.99
2021 Abr,4.65
2021 Mar,3.87
2021 Feb,4.4
2021 Ene,4.7
2020 Dic,3.79
2020 Nov,4.35
2020 Oct,4.71
2020 Sep,5.13
2020 Ago,5.26
2020 Jul,5.35
2020 Jun,5.49
2020 May,4.19
2020 Abr,4.69
2020 Mar,2.91
2020 Feb,3.53
2020 Ene,3.78
2019 Dic,2.91
2019 Nov,3.42
2019 Oct,3.69
2019 Sep,3.78
2019 Ago,3.71
2019 Jul,3.74
2019 Jun,3.57
2019 May,3.5
2019 Abr,3.5
2019 Mar,3.22
2019 Feb,3.29
2019 Ene,3.56
2018 Dic,3.36
2018 Nov,3.25
2018 Oct,3.27
2018 Sep,3.58
2018 Ago,3.46
2018 Jul,3.47
2018 Jun,3.37
2018 May,3.22
2018 Abr,3.39
2018 Mar,2.94
2018 Feb,3.17
2018 Ene,3.36
2017 Dic,3.15
2017 Nov,3.41
2017 Oct,3.51
2017 Sep,3.59
2017 Ago,3.52
2017 Jul,3.42
2017 Jun,3.29
2017 May,3.55
2017 Abr,3.47
2017 Mar,3.19
2017 Feb,3.34
2017 Ene,3.6
2016 Dic,3.38
2016 Nov,3.5
2016 Oct,3.67
2016 Sep,4.12
2016 Ago,3.98
2016 Jul,4
2016 Jun,3.92
2016 May,4.01
2016 Abr,3.8
2016 Mar,3.75
2016 Feb,4.14
2016 Ene,4.26
2015 Dic,3.96
2015 Nov,3.96
2015 Oct,4.54
2015 Sep,4.49
2015 Ago,4.67
2015 Jul,4.72
2015 Jun,4.41
2015 May,4.45
2015 Abr,4.31
2015 Mar,3.86
2015 Feb,4.33
2015 Ene,4.51
2014 Dic,3.76
2014 Nov,4.54
2014 Oct,4.77
2014 Sep,5.11
2014 Ago,5.19
2014 Jul,5.49
2014 Jun,4.82
2014 May,4.96
2014 Abr,4.86
2014 Mar,4.8
2014 Feb,4.68
2014 Ene,5.08
2013 Dic,4.27
2013 Nov,4.51
2013 Oct,5.03
2013 Sep,5.32
2013 Ago,5.2
2013 Jul,5.16
2013 Jun,5.05
2013 May,4.93
2013 Abr,5.06
2013 Mar,4.58
2013 Feb,4.82
2013 Ene,5.38
2012 Dic,4.43
2012 Nov,5.1
2012 Oct,5.01
2012 Sep,5
2012 Ago,5.34
2012 Jul,4.98
2012 Jun,4.78
2012 May,4.79
2012 Abr,4.83
2012 Mar,4.63
2012 Feb,5.33
2012 Ene,4.9
2011 Dic,4.48
2011 Nov,4.96
2011 Oct,4.99
2011 Sep,5.62
2011 Ago,5.78
2011 Jul,5.58
2011 Jun,5.41
2011 May,5.19
2011 Abr,5.09
2011 Mar,4.54
2011 Feb,5.31
2011 Ene,5.39
2010 Dic,4.91
2010 Nov,5.2
2010 Oct,5.66
2010 Sep,5.61
2010 Ago,5.38
2010 Jul,5.66
2010 Jun,4.94
2010 May,5.01
2010 Abr,5.35
2010 Mar,4.78
2010 Feb,5.37
2010 Ene,5.83
2009 Dic,4.7
2009 Nov,5.19
2009 Oct,5.87
2009 Sep,6.34
2009 Ago,6.19
2009 Jul,6.04
2009 Jun,5.1
2009 May,5.25
2009 Abr,5.18
2009 Mar,4.68
2009 Feb,5.26
2009 Ene,4.94
2008 Dic,4.02
2008 Nov,4.5
2008 Oct,4.16
2008 Sep,4.15
2008 Ago,4.09
2008 Jul,4.17
2008 Jun,3.39
2008 May,3.28
2008 Abr,3.48
2008 Mar,3.55
2008 Feb,3.89
2008 Ene,4.15
2007 Dic,3.23
2007 Nov,3.36
2007 Oct,3.85
2007 Sep,3.77
2007 Ago,3.85
2007 Jul,3.83
2007 Jun,3.28
2007 May,3.17
2007 Abr,3.59
2007 Mar,3.79
2007 Feb,4.16
2007 Ene,4
2006 Dic,3.36
2006 Nov,3.62
2006 Oct,3.88
2006 Sep,3.91
2006 Ago,3.9
2006 Jul,4.05
2006 Jun,3.32
2006 May,2.93
2006 Abr,3.25
2006 Mar,3.27
2006 Feb,3.77
2006 Ene,3.51
2005 Dic,2.7
2005 Nov,2.89
2005 Oct,3.38
2005 Sep,3.69
2005 Ago,3.68
2005 Jul,4.03
2005 Jun,3.59
2005 May,3.34
2005 Abr,3.44
2005 Mar,3.68
2005 Feb,3.82
2005 Ene P,4.06
